A;B;C;D;
a1;a2;;;
;;;;
c1;;;;
d1;d2;d3;;
alt1;alt2;alt3;alt4;alt5
1;1;1;1;1
1;1;1;1;1
1;1;1;1;1
1;1;1;1;1
1;1;1;1;1
2;2;2;2;2
2;2;2;2;2
2;2;2;2;2
2;2;2;2;2
2;2;2;2;2
3;3;3;3;3
3;3;3;3;3
3;3;3;3;3
3;3;3;3;3
3;3;3;3;3
4;4;4;4;4
4;4;4;4;4
4;4;4;4;4
4;4;4;4;4
4;4;4;4;4
5;5;5;5;5
5;5;5;5;5
5;5;5;5;5
5;5;5;5;5
5;5;5;5;5
6;6;6;6;6
6;6;6;6;6
6;6;6;6;6
6;6;6;6;6
6;6;6;6;6
7;7;7;7;7
7;7;7;7;7
7;7;7;7;7
7;7;7;7;7
7;7;7;7;7
10;10;10;10;
10;10;10;10;
10;10;10;10;
10;10;10;10;
11;11;;;
11;11;;;
12;;;;
13;13;13;;
13;13;13;;
13;13;13;;